cik,form,coname,fyear,fsize,url,sbi,lengthpart1,lengthpart2,lengthpart3,lengthpart4,missingPart1,missingPart2,missingPart3,missingPart4
1002520,"10-K","SPEEDUS COM INC",2001,.151823,"https://www.sec.gov/Archives/edgar/data/1002520/0001005477-02-001493.txt",0,27490,38787,19572,60939,0,0,0,0
1002520,"10-K","SPEEDUS COM INC",2002,.184318,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-03-002607.txt",0,71605,331,1259,105466,0,0,0,0
1002520,"10-K","SPEEDUS CORP",2003,.193637,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-04-002016.txt",0,33473,43794,24925,83835,0,0,0,0
1002520,"10-K","SPEEDUS CORP",2004,.806133,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-05-001955.txt",0,33122,40113,20391,88172,0,0,0,0
1002520,"10-K","SPEEDUS CORP",2005,.970048,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-06-001789.txt",0,34592,45569,20693,78573,0,0,0,0
1002520,"10-K","SPEEDUS CORP",2006,1.086184,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-07-001748.txt",0,42266,48243,34218,152015,0,0,0,0
1002520,"10-K","SPEEDUS CORP",2007,1.378344,"https://www.sec.gov/Archives/edgar/data/1002520/0001169232-08-001513.txt",0,0,0,273380,0,1,1,0,1
1002554,"10-K","EMERGING VISION INC",2004,1.625186,"https://www.sec.gov/Archives/edgar/data/1002554/0000950136-05-001872.txt",0,21323,116991,44516,18403,0,0,0,0
1002554,"10-K","EMERGING VISION INC",2001,.349946,"https://www.sec.gov/Archives/edgar/data/1002554/0001002554-02-000010.txt",0,30229,166601,2166,148368,0,0,0,0
1002554,"10-K","EMERGING VISION INC",2002,.362331,"https://www.sec.gov/Archives/edgar/data/1002554/0001002554-03-000012.txt",0,24958,173880,49179,106526,0,0,0,0
1002554,"10-K","EMERGING VISION INC",2003,.41439,"https://www.sec.gov/Archives/edgar/data/1002554/0001002554-04-000008.txt",0,22314,170263,60323,153263,0,0,0,0
1002554,"10-K","EMERGING VISION INC",2005,2.547832,"https://www.sec.gov/Archives/edgar/data/1002554/0001002554-06-000013.txt",0,40517,117126,45785,825449,0,0,0,0
1002554,"10-K","EMERGING VISION INC",2006,1.278039,"https://www.sec.gov/Archives/edgar/data/1002554/0001002554-07-000015.txt",0,47676,135220,1798,81317,0,0,0,0
1002577,"10-K","TJT INC",2001,.358527,"https://www.sec.gov/Archives/edgar/data/1002577/0000912057-01-544439.txt",0,91998,817,19994,0,0,0,0,1
1002577,"10-KSB","TJT INC",1996,.091862,"https://www.sec.gov/Archives/edgar/data/1002577/0000912057-96-030489.txt",1,24983,999,60882,0,0,0,0,1
1002577,"10-K","TJT INC",2002,.338177,"https://www.sec.gov/Archives/edgar/data/1002577/0001047469-02-008501.txt",0,89141,861,3794,0,0,0,0,1
1002577,"10-K","TJT INC",2003,.976807,"https://www.sec.gov/Archives/edgar/data/1002577/0001104659-03-029317.txt",0,17792,61613,1389,18739,0,0,0,0
1002658,"10-K","DALEEN TECHNOLOGIES INC",2002,1.29748,"https://www.sec.gov/Archives/edgar/data/1002658/0000950144-03-004085.txt",0,69529,114747,4431,438958,0,0,0,0
1002658,"10-K","DALEEN TECHNOLOGIES INC",2003,1.45075,"https://www.sec.gov/Archives/edgar/data/1002658/0000950144-04-002711.txt",0,132,518,314,700393,0,0,0,0
1002663,"10-KSB","PHOTON DYNAMICS INC",1997,.14694,"https://www.sec.gov/Archives/edgar/data/1002663/0000950109-97-007738.txt",1,58792,47,81220,0,0,0,0,1
1002813,"10-K","POINT WEST CAPITAL CORP",1999,.30023,"https://www.sec.gov/Archives/edgar/data/1002813/0001002813-00-000001.txt",0,44484,186332,1997,59159,0,0,0,0
1002813,"10-K","POINT WEST CAPITAL CORP",2000,.690592,"https://www.sec.gov/Archives/edgar/data/1002813/0001002813-01-500012.txt",0,43508,162614,1666,90496,0,0,0,0
1002813,"10-K","POINT WEST CAPITAL CORP",2001,2.431752,"https://www.sec.gov/Archives/edgar/data/1002813/0001002813-02-000010.txt",1,147285,561723,-545132,1394295,0,0,0,0
